,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero,Title,Hero Order,Role(s),Specialty(ies),Lane Recommendation(s),Health,Health Regen,Mana,Mana Regen,Attack Speed,Physical Damage,Magical Damage,Physical Defense,Magical Defense,Movement Speed,Energy,Energy Regen,Price,Specialty,Win Rate,Hero, Name Pasive Abilities,Ability,Pasive Deskripsi,Skill 1 Name Abilities,Skill 1 Ability,Skill 1 Pasive Deskripsi,Skill 2 Name Abilities,Skill 2 Ability,Skill 2 Pasive Deskripsi,Skill 3 Name Abilities,Skill 3 Ability,Skill 3 Pasive Deskripsi
Khaleed,"Khaleed, the Desert Scimitar",98,Fighter,Damage,EXP Lane,2778,7,0,0,1.05 ┃ 100%,109,0,23,15,250,,,32000   599,,355W : 325L (52.21%),Khaleed,Sand Walk,Speed Up Damage,"Khaleed accumulates Desert Power while moving. After Desert Power is fully charged, he will slide on sand, increasing Movement Speed by 25%, making his next Basic Attack deal 50 (+140 % Total Physical Attack) Physical Damage to the target (cannot critically strike), and reducing the target's Movement Speed by 40% for 1.5s.",Desert Tornado,AoE,"Khaleed whirls his scimitar, dealing 180 (+125% Total Physical Attack) Physical Damage to nearby enemies and pulling them toward him. Upon hitting an enemy, Khaleed can leap in the movement direction and cast this skill again, up to 3 time(s). Each time he casts the skill, the damage is increased by 15%.
This skill deals 50% damage to minions and creeps.",Quicksand Guard,Reduce DMG HEAL,"Khaleed protects himself with the power of the quicksand, restoring 60+5% of his lost HP and 10 Desert Power every 0.5s, reducing damage taken by 50% for up to 4s.
While channeling, quicksand appears under his feet, slowing the enemy by 60%.

This skill is a Focused Cast. Any other controls will interrupt this skill.",Raging Sandstorm,CC Blink,"Khaleed rides the sandstorm and charges toward a designated location, dealing 100 (+50% Total Physical Attack) Physical Damage to enemies along the way and knocking them toward his destination. Khaleed is immune to control effects during this process.
Upon reaching the destination, Khaleed will smash the ground, dealing 450 (+160% Total Physical Attack) Physical Damage to enemies in the area and stunning them for 1s, and fully charge his Desert Power."
Barats,"Barats, the Dino Rider",99,Tank/Fighter,Damage/Crowd Control,Jungling,2559,8.8,430,15,1.01 ┃ 50%,135,0,18,15,268,,,32000   599,Damage/Crowd Control,536W : 564L (48.73%),Barats,Big Guy,BUFF,"Detona gains a stack of Big Guy for 12s each time it or Barats damages an enemy with their skills (up to 25 stacks). Each stack of Big Guy grants Detona increased body size, 1-4 extra Physical & Magic Defense, and 2% extra Resilience.

At 16 stacks, Detona's Basic Attacks will be replaced with Trample, each attack dealing (+140%Total Physical Attack)(+3.5%Total HP) Physical Damage to enemies in a circular area and slowing them by 40% for 0.2s.",So-Called Teamwork,AoE Slow,"Detona spits contaminated oil in the target direction, dealing 60(+7%Total HP) Physical Damage to enemies in a fan-shaped area and slowing them by 30% for 1s. Barats then ignites the oil with a firecracker, dealing 120(+200%Total Physical Attack) Physical Damage to enemies in the area.
The area of effect of So-Called Teamwork increases at 6, 11, 16, and 21 Big Guy stacks.","Missile ""Expert""",CC AoE,"Barats fires two missiles in the target direction that expel fumes upon landing, dealing 200(+125%Total Physical Attack) Physical Damage to enemies in a rectangle and pushing them toward him.",Detona's Welcome,CC Damage,"Detona locks onto the target enemy hero and devours them after a 1.2s delay, suppressing them for 1s while gaining 3 stacks of Big Guy. For the duration, Barats recovers up to 30% HP, becomes immune to control effects, but cannot move. Detona then spits the enemy out 3.5 units in the target direction, dealing them 120(+70%Total Physical Attack)(+1.2%Total HP) Physical Damage. If the enemy hits an enemy hero or a wall, they and nearby enemies will take an extra 150(+80%Total Physical Attack)(+1.5%Total HP) Physical Damage and be stunned for 1s.

Passive:  Detona gains 5 stacks of Big Guy upon respawn."
Brody,"Brody, the  Lone Star",100,Marksman,Burst,Gold Lane,2490,7.2,435,15,1.2 ┃ 70%,105,0,20,15,253,,,32000   599,Burst/Reap,1504W : 1518L (49.77%),Brody,Abyss Corrosion,BUFF,"With his Basic Attacks resonated with the Abyss Power within his body, Brody is able to move while winding up his Basic Attacks (which will be interrupted when casting skills), at the cost of having longer Basic Attack Animation and lower Attack Speed Bonus. Each Basic Attack deals (+140%Total Physical Attack)(+35*Hero Level) Physical Damage (of which the damage scaling with level cannot be critical), increases Movement Speed by 30% (which will decay rapidly in 1.2s), and inflicts 1 stack of Abyss Mark on the enemy, capped at 4 stacks.

Each stack of Abyss Mark increases Brody's damage against the target by 5% and his Movement Speed by 5%.",Abyss Impact,AoE Slow,"Brody launches a shock wave in the designated direction, dealing 150(+170%Total Physical Attack) Physical Damage, slowing the enemies by 30% for 1.2s, and applying 1 stack of Abyss Mark.
As the shock wave travels, for each enemy it hits, it deals an extra 10% damage, inflicts extra 5% Slowing Effect, and applies an additional stack of Abyss Mark, capped at 130% damage, 45% Slowing Effect, and 4 stacks. This skill deals only 80% damage to minions.",Corrosive Strike,Blink CC,"Brody dashes to an enemy, dealing 200(+70%Total Physical Attack) Phyisical Damage to the target, stunning the target for 0.8s, and inflicting 1 stack of Abyss Mark on the target.

Upon hitting the target, he is able to move one more time in the movement direction, gaining 45% Movement Speed that will decay rapidly in 1.2s.",Torn-Apart Memory,Burst AoE,"Brody locks on all the targets within 8 yard(s), dealing 340(+180%Extra Physical Attack) Physical Damage to them. If the target has an Abyss Mark, all Abyss Marks will be reset, dealing Physical Damage equal to 136(+72%Extra Physical Attack) plus 4% of the target's lost HP for each stack the target has."
Yve,"Yve, the Astrowarden",101,Mage,Burst,Mid Lane,2651,7.2,510,21,0.98 ┃ 100%,115,0,19,15,255,,,32000   599,Poke/Burst,2143W : 1955L (52.29%),Yve,Galactic Power,BUFF Shield,"Yve gains a stack of Galactic Power each time she hits an enemy hero with Void Blast or Void Crystal (up to 10 stacks). 
Each stack of Galactic Power allows Yve to launch an extra attack on the next Real World Manipulation cast and increases the amount of shield gained by 5%.",Void Blast,AoE BUFF,"Yve detonates Galactic Energy at the target location, dealing 170(+70%Total Magic Power) Magic Damage to enemies in the area and 145(+60%Total Magic Power) extra Magic Damage to those in the center.
Successfully hitting an enemy grants Yve 55% extra Movement Speed (halved if a non-hero enemy is hit) that decays over 1s.

If an enemy hero is hit in the center of the area, the cooldown of this skill is reduced by 0.5s.",Void Crystal,Slow AoE,"Yve summons a Void Crystal at the target location, dealing 220(+40%Total Magic Power) Magic Damage to nearby enemies.
Use Again: Yve commands the Crystal to fire materialized energy in the target direction for 2.7s, dealing 90(+20%Total Magic Power) Magic Damage every 0.45s to enemies hit and slowing them by 35%. Enemies hit multiple times are slowed by an extra 5% for each hit after the first (up to 60%).",Real World Manipulation,Burst CC,"Yve creates a Starfield that lasts 15s, gaining Displacement Immunity and a 400(+120%Total Magic Power) shield. Within the duration, you can Tap or Slide the screen to launch up to 15 attacks.

Tap: Deals 360(+110%Total Magic Power) Magic Damage to enemies in the target area.

Slide: Deals 65(+10%Total Magic Power) Magic Damage every 0.45s to enemies in the target area for 2.7s and slows them by 60%.

Enemies leaving or entering the Starfield are immobilized for 0.3s (only once against the same target). The Starfield will disappear early if Yve is controlled, while 3% of the skill cooldown will be refunded for each remaining attack. The shield expires s after the Starfield disappears."
Mathilda,"Mathilda, the Swift Plume",102,Support/Assassin,Initiator/Guard,Roaming/Mid Lane,2561,6.8,430,16,1 ┃ 100%,120,0,22,15,252,,,32000   599,Initiator/Guard,1223W : 1256L (49.33%),Mathilda,Ancestral Guidance,Damage Speed Up,"Mathilda gains Ancestral Guidance while moving. When it's fully charged, her next Basic Attack will be enhanced, dealing 200(+100%Total Physical Attack)(+100%Total Magic Power) Magic Damage to the target and granting her 80 extra Movement Speed that decays over 2.5s.",Soul Bloom,Burst,"Mathilda resonates with the power of her ancestors for 3.5s, attracting wisps as her movement distance increases (up to 6 wisps).
 
At the end of the duration, or when Mathilda casts this skill again, the wisps will seek and attack nearby enemies regardless of whether or not they're in sight (prioritizes enemy heroes), each dealing 375(+100%Total Magic Power) Magic Damage. Enemies hit by multiple wisps will take only 20% of the damage after the first hit.",Guiding Wind,Blink Shield,"Mathilda leaps in the target direction and creates a field around her, gaining a 500(+180%Total Magic Power) shield and 25% extra Movement Speed for 3s. Allied heroes who come into contact with the field will receive a 70% shield and Guiding Wind. The first allied hero that triggers Guiding Wind will be guided to Mathilda, and both of them will gain the same Movement Speed boost.
When casting this skill during Circling Eagle, Mathilda won't change her position. 

Guiding Wind expires 2s after the hero leaves Mathilda's field.",Circling Eagle,Blink Shield,"Mathilda applies a Soul Mark to the target enemy hero and circles around them for up to 2s, during which wisps will rush toward nearby enemies, each dealing 60(+15%Total Magic Power) Magic Damage. 

At the end of the duration, or when Mathilda casts this skill again, she'll charge at the enemy, dealing 320(+120%Total Magic Power) Magic Damage to enemies in her path while knocking them back and stunning them for 0.4s.
Mathilda gains Control Immunity and a 600(+160%Total Magic Power) shield for the skill duration."
Paquito,"Paquito, the  Heavenly Fist",103,Fighter/Assassin,Chase/Damage,EXP Lane/Jungling,2798,9.8,0,0,1.22 ┃ 80%,121,0,22,15,260,,,32000   599,Chase/Damage,2094W : 2009L (51.04%),Paquito,Champ Stance,BUFF Damage,"After every 3 skill casts, Paquito enters the Champ Stance, gaining an enhanced skill ignoring his current cooldowns. He gains 60% extra Movement Speed that decays over 2.5s after casting the enhanced skill. 

Paquito's Basic Attacks only deal (+85%Total Physical Attack) Physical Damage.",Heavy Left Punch,AoE Shield,"Paquito throws a punch in the target direction, dealing 210(+50%Total Physical Attack) Physical Damage to enemies hit. He gains a 150(+110%Total Physical Attack) shield for 2.5s if an enemy hero is hit.
Champ Stance: The damage is increased to 350(+100%Total Physical Attack) Physical Damage, while the shield value is increased to 120%. The regular and enhanced shields can stack.",Jab,Burst Blink,"Paquito dashes in the target direction and throws a jab, dealing 150(+165%Total Physical Attack) Physical Damage to enemies hit. Paquito deals no damage to enemies in his path but will stop and throw the jab early upon colliding with an enemy hero or creep.
Champ Stance: The damage is increased to 240(+240%Total Physical Attack) Physical Damage.",Knockout Strike,CC Burst,"Paquito launches an elbow strike in the target direction, dealing 250(+50%Total Physical Attack) Physical Damage to enemies hit and knocking them back. He then throws a haymaker, dealing 350(+100%Total Physical Attack) Physical Damage to enemies hit and slowing them by 75% for 1s, as he darts backward.
Champ Stance: Instead of a haymaker, Paquito launches an uppercut after the elbow strike, dealing 400(+120%Total Physical Attack) Physical Damage to enemies hit and knocking them airborne for 0.5s."
Gloo,"Gloo, the Swamp Spirits",104,Tank,Regen,Roaming/EXP Lane,2819,12.4,440,20,0.98 ┃ 80%,120,0,18,15,245,,,32000   599,Regen/Control,1004W : 855L (54.01%),Gloo,"Stick, Stick",Slow BUFF,"Enemies gain a stack of Sticky each time they're hit by Gloo's skills, decreasing their Movement Speed by 6% for 6s. Stacks up to 5. 

Each stack of Sticky on an enemy reduces their damage dealt to Gloo by 8%.","Slam, Slam",AoE CC,"Gloo reaches out and slams the ground, dealing 260(+80%Total Magic Power) Magic Damage to enemies hit.

He also leaves a Goo behind that explodes after 3s, dealing 220(+60%Total Magic Power) Magic Damage and immobilizing nearby enemies for 1s. Gloo can touch the Goo to detonate it early and reset the skill's cooldown.","Pass, Pass",CC AoE,"Gloo stretches forth to deal 250(+50%Total Magic Power) Magic Damage to enemies in its path, immobilizing them for 0.5s.

If this skill hits a Goo, Gloo will charge over to it, dragging enemies in its path in the same direction for a distance.","Split, Split",Morph HEAL,"Gloo splits into Goos for 10s, during which it gains 35% extra Movement Speed, recovers 3% Max HP per second, and deals 120(+25%Total Magic Power) Magic Damage every 0.25s to enemies it comes into contact with. 

Grab, Grab: Gloo attaches itself to the target enemy hero with max Sticky stacks for up to 9s, recovering 25% Max HP. For the duration, Gloo gains reduced skill cooldowns and transfers 80% of the damage he receives (calculated before damage reduction; excluding damage from turrets) to its host, and its Basic Attacks deal 120(+50%Total Magic Power) Magic Damage. 

Go, Go: Gloo leaves its host early."
Beatrix,"Beatrix, the Dawnbreak Soldier",105,Marksman,Finisher,Gold Lane,2550,7.2,0,0,1.07 ┃ 100%,102,0,20,15,257,,,32000   599,Reap/Damage,2569W : 2547L (50.22%),Beatrix,Mechanical Genius,BUFF,"Her extraordinary talent in the field of mechanics allowed Beatrix to produce 4 weapon(s) of truly awe-inspiring firepower.

Renner Basic Attack - Longshot: Fire a powerful shot in the enemy's current direction, dealing (+350%Total Physical Attack)-(+525%Total Physical Attack) Physical Damage to the first target hit (this shot can be dodged, or blocked by others. Deals 75% damage to creeps).

Beatrix cannot Crit, and converts every 1% Critical Chance gained into 1 Physical Attack.",Mechanical Genius,BUFF,"Her extraordinary talent in the field of mechanics allowed Beatrix to produce 4 weapon(s) of truly awe-inspiring firepower.

Bennett Basic Attack - Area Bombing: Choose a location to bombard, dealing (+180%Total Physical Attack)-(+320%Total Physical Attack) Physical Damage to all enemies in that area and slowing them by 30% for 0.5s (deals 75% damage to creeps).

Beatrix cannot Crit, and converts every 1% Critical Chance gained into 1 Physical Attack.",Mechanical Genius,BUFF,"Her extraordinary talent in the field of mechanics allowed Beatrix to produce 4 weapon(s) of truly awe-inspiring firepower.

Wesker Basic Attack - Proximity Advantage: Fire 5 shots at the target, each one dealing (+125%Total Physical Attack)-(+195%Total Physical Attack) Physical Damage (damage dealt to targets hit multiple times decays to 40%. Deals 75% damage to creeps) 

Beatrix cannot Crit, and converts every 1% Critical Chance gained into 1 Physical Attack.",Mechanical Genius,BUFF,"Her extraordinary talent in the field of mechanics allowed Beatrix to produce 4 weapon(s) of truly awe-inspiring firepower.

Nibiru Basic Attack - Rapid Fire: Let loose a volley of 4 shots, each one dealing (+50%Total Physical Attack)-(+67.5%Total Physical Attack) Physical Damage (deals 75% damage to creeps).

Beatrix cannot Crit, and converts every 1% Critical Chance gained into 1 Physical Attack."
Phoveus,"Phoveus, the Shadow of Dread",106,Fighter,Chase,EXP Lane,2828,10.8,430,21,1.02 ┃ 100%,132,0,25,15,252,,,32000   599,Chase/Control,445W : 434L (50.63%),Phoveus,Demonic Intuition,BUFF,"Phoveus' weapon, Astaros, holds mysterious powers and is exceptionally sensitive to fast-moving prey. When an enemy hero uses Blink or Charge skills within 8 yards of Astaros, it reduces all of Phoveus' skill cooldowns or charge times by 1s.",Malefic Terror,AoE Shield,"Phoveus smashes the ground and unleashes Astaros Dread, dealing 250 (+100% Total Magic Power) Magic Damage to the target.

Upon hitting an enemy hero, Phoveus receives a 0 (+60% Total Magic Power) (+6% Total HP) Shield as well as a 25% Movement Speed boost for 3s.

If an enemy hero, creep or Phoveus himself touches Astaros Dread, it will spread and deal extra damage (successive damage dealt to the same enemy decays to 25%).

This skill gains 1 charge every 8.5s, up to 3 charges, and deals 160% damage to minions.",Astaros Eye,CC AoE,"Phoveus summons forth Astaros Eye in a targeted area that deals 100 (+20% Total Magic Power) damage.

After 1s, Astaros Eye starts shrinking and pulling all enemies on it into its center, dealing 250 (+70% Total Magic Power) Magic Damage.",Demonic Force,Blink Burst,"Astaros keeps a watchful gaze over an area of 8 yards around Phoveus. If it sees an enemy hero using blink or charge skills, it will be activated and cast a Mark upon them for 3s. During this time, Phoveus can rapidly blink to their location to deliver a fierce blow, dealing 600 (+180% Total Magic Power) Magic Damage to the target and its vicinity and gaining a 160 (+50% Total Magic Power) (+5% Total HP) Shield.
Once Phoveus activates this effect, this skill can be cast repeatedly at the cost of Mana for up to 12s before entering cooldown, as long as the required conditions are met."
Natan,"Natan, the Spacetime Walker",107,Marksman,Burst,Gold Lane,2530,6,443,15,0.87 ┃ 100%,115,0,17,15,245,,,32000   599,Burst/Magic Damage,191W : 196L (49.35%),Natan,Theory of Everything,BUFF,"Natan gains a stack of Entanglement each time he or his Reverse-Clone hits an enemy with their skills (up to 6 stacks). Each stack lasts 5s and grants 7.5-15% extra Attack Speed and 7.5% extra Movement Speed. Projectiles of Natan's Basic Attacks will return to Natan after reaching the maximum range, dealing (+70%Total Physical Attack) (+30%Total Magic Power) Magic Damage to enemies in its path. 

Natan cannot gain Magic Penetration directly but can convert 100% of his Physical Lifesteal to Magic Lifesteal and 100% of his Physical Penetration to Magic Penetration.",Superposition,Burst,"Natan shoots a dense mass of energy in the target direction, dealing 225 (+180%Total Physical Attack) (+120%Total Magic Power) Magic Damage to enemies in its path.",Interference!,CC,"Natan launches a Gravitational Attractor in the target direction, dealing 150 (+50%Total Physical Attack) (+70%Total Magic Power) Magic Damage to enemies in its path and knocking them back. The Attractor detonates upon reaching the maximum range, dealing 30 (+10%Total Physical Attack) (+14%Total Magic Power) Magic Damage to nearby enemies and knocking them back.",Entropy?,Summon Blink,"Natan summons a Reverse-Clone at the target location (6 units away) that lasts 10s, inherits 35% of his attack attributes, and copies his moves and attacks in reverse. 

Use Again: Natan switches places with the Reverse-Clone.
Each cast reduces other skills' remaining cooldowns by 50%. The Reverse-Clone will disappear if Natan is too far away, while the cooldown of this skill will be reduced by the remaining duration"
Aulus,"Aulus, the Warrior of Ferocity",108,Fighter,Damage,EXP Lane/Jungling,2758,10.2,410,17,0.92 ┃ 100%,90,0,24,15,255,,,32000   599,Damage/Crowd Control,120W : 114L (51.28%),Aulus,Fighting Spirit,BUFF,"Aulus adds a stack of Fighting Spirit to his axe per second for 3s after dealing damage to any enemy (up to 4 stacks). Each stack grants 3-12 extra Physical Attack and 1-4 Physical Penetration (scales with Undying Fury level). 

Aulus also gains 10% extra Movement Speed and 27-125 Basic Attack Damage at max Fighting Spirit stacks (scales with level).","Aulus, Charge!",Speed Up Slow,Aulus removes all slow effects and gains 30% extra Movement Speed and 20% Damage Reduction against attacks from the front for 3s.,The Power of Axe,Burst BUFF,"Aulus brandishes his axe, dealing 150(+120%Extra Physical Attack) Physical Damage to enemies in a fan-shaped area, and enhances his Basic Attacks within the next 3s according to the enemies hit (3 for each non-minion enemy and 1 for each enemy minion, up to 6). Aulus gains 200% extra Attack Speed when performing the enhanced Basic Attack and restores 25(+30%Extra Physical Attack) HP.",Undying Fury,Slow BUFF,"Passive:  Every time Undying Fury is upgraded, Aulus crafts a part for his axe in order. Blade Craft: Permanently increases his Basic Attacks' Physical Damage by 35. Hammer Craft: Permanently increases his Physical Lifesteal by 15%. Handle Craft: Permanently increases his Attack Range by 65% and the range of The Power of Axe.
Active: Aulus raises his axe and smashes it to the ground, dealing 210(+220%Extra Physical Attack) Physical Damage to enemies in a line. A burning trail that lasts for 5 seconds is left on the ground, dealing 90(+80%Extra Physical Attack) Physical Damage to enemies who walk on it every 0.5 seconds and slowing them by 70%."
Aamon,"Aamon, the Duke of Shards",109,Assassin,Chase,Jungling,2614,8,455,21,1.09 ┃ 100%,115,0,19,15,250,,,32000   599,Chase/Magic Damage,103W : 101L (50.49%),Aamon,Invisible Armor,Conceal BUFF,"Aamon enters the Camouflage state each time he hits an enemy with a skill, during which he cannot be targeted, restores 25(+15%Total Magic Power) plus 3% of his lost HP every 0.6s, and gains 60% extra Movement Speed that rapidly decays over 3s.
Upon leaving the Camouflage state, Aamon immediately resets his Basic Attack's cooldown and enhances his Basic Attacks within the next 2.5s. Each enhanced Basic Attack deals 70(+100%Total Physical Attack)(+115% Total Magic Power) Magic Damage and reduces Aamon's skill cooldowns by 0.5s. The first enhanced Basic Attack's damage is increased to 120% if Aamon leaves the Camouflage state actively.",Soul Shards,Damage BUFF,"Passive:  Aamon charges his armor each time he casts a skill or hits an enemy with a skill or enhanced Basic Attack. At 5 charges, Aamon throws 5 shards at the target on his next attack, each shard dealing 50(+15%Total Magic Power) Magic Damage. The shards will then scatter around the target.
Active:  Aamon throws a shard at a nearby enemy, dealing 175(+60%Total Magic Power) Magic Damage.",Slayer Shards,Conceal Damage,"Aamon throws a shard forward, dealing 120(+50%Total Magic Power) Magic Damage to enemies along the way. The shard will return to Aamon after a short delay and allow him to enter the Camouflage state. 

If the shard hits a non-minion enemy, it'll slow them by 50% for 2s and return to Aamon immediately.",Endless Shards,Burst,"Aamon throws all shards at a designated enemy and slows them by 30% for 1.5s. After a short delay, the shards will fly to the enemy's location again, each dealing 90(+24%Total Magic Power)-150(+40%Total Magic Power) Magic Damage.
The number of shards increases with Aamon's armor charges and the shards on the ground (8-25). 

The damage dealt increases with the target's lost HP, to the max when the target's HP is below 30%.

The same target takes less damage from subsequent attacks."
Valentina,"Valentina, the Prophetess of the Night",110,Mage,Burst,Mid Lane,2701,7.2,510,19,0.98 ┃ 100%,115,0,21,15,240,,,32000   599,Burst/Reap,2310W : 2207L (51.14%),Valentina,Primal Force,BUFF HEAL,"Valentina gains 8-50 extra EXP each time she deals damage to an enemy hero. Cooldown: 2s. If the enemy hero's level isn't higher than Valentina's, 30% of the damage dealt is converted into her HP. The EXP scales with Valentina's level.",Shadow Strike,Damage CC,"Valentina casts Shadow Strike in the target direction, dealing 340(+185%Total Magic Power) Magic Damage to enemies hit and slowing them by 40% for 1s.
Enemy heroes hit by Shadow Strike are marked with a Shadow Sigil for 4s and will be terrified for 1s when hit by Shadow Strike again within the duration.",Arcane Shade,Blink BUFF,"Valentina dashes in the target direction, firing 3 Shadow Bolts at nearby enemies that deal 125(+30%Total Magic Power) Magic Damage each. Valentina can cast this skill again within 6s (costs Mana).
The cooldown of Shadow Strike is reduced by 1s each time a Shadow Bolt hits an enemy.",I Am You,Morph Slow,"Valentina slows the target enemy hero by 70% for 0.5s and gains the ability to cast their Ultimate. Casting the enemy's Ultimate turns Valentina into the enemy hero's form and allows her to inherit their Basic Attack type for up to 12s. Her regular skills remain unchanged, unless the enemy's Ultimate has a Morph effect.
The stolen Ultimate's level is determined by that of Valentina's own. She gains (+100% Total Magic Power) extra Physical Attack for the duration if the enemy is a Physical Damage hero. This skill has no effect on enemy Valentina."
Edith,"Edith, the Ancient Guard",111,Tank/Marksman,Crowd Control/Burst,EXP Lane/Roaming,2549,9,0,0,0.94 ┃ 100%,110,0,15,15,255,,,32000   599,Control/Burst,1044W : 882L (54.21%),Edith,Overload,BUFF,"After each skill cast, Edith and Phylax become Overloaded for 3s, during which Edith's Basic Attacks can trigger chain lightning. The chain lightning deals 105(+6*Hero Level)(+30%Total Magic Power) extra Magic Damage to up to 4 enemies. 
Minions take 150% damage from the chain lightning.",Earth Shatter,CC AoE,"After a 0.75s delay, Edith controls Phylax to launch an earth-shattering blow in a designated direction, dealing 225(+10%Total HP) Physical Damage to enemies hit (deals 120% damage to minions) and knocking them airborne for 1s.
 
This skill won't be interrupted by regular control effects (excluding Suppression).",Divine Retribution,Burst AoE,"Edith exacts Divine Retribution on a designated area, dealing 170(+40%Total Magic Power) Magic Damage to enemies hit and 68(+16%Total Magic Power) Magic Damage to enemies in the area every 0.5s within the next 1.5s.",Onward,Charge CC,"Edith controls Phylax to charge in a designated direction, dealing 90(+3%Total HP) Physical Damage to enemies along the way. 

If Phylax hits an enemy hero during this process, it'll stop immediately and throw them over its shoulder, dealing 108(+5%Total HP) Physical Damage."
Floryn,"Floryn, the  Budding Hope",112,Support,Poke,Roaming,2401,7.6,550,22,0.97 ┃ 100%,119,0,12,15,240,,,32000   599,Poke/Guard,190W : 237L (44.5%),Floryn,Dew,BUFF,"Dew's Lantern can slightly increase Floryn's attributes and will evolve at full energy stacks (1000). When at the Fountain, Floryn can share the Lantern's power with an allied hero, granting them an extra piece of equipment that doesn't take up equipment slots, Cooldown: 30s. The equipment will also evolve at full energy stacks. Floryn can accelerate the energy accumulation speed by hitting enemies with her skills.

Floryn will never sell the Lantern.",Sow,Damage HEAL,"Floryn tosses an Energy Seed at the target enemy, dealing them 180(+180%Total Magic Power) Magic Damage. Healing Fruits will then spawn and bounce to nearby allied heroes, healing them by 175(+65%Total Magic Power) plus 5% of their lost HP (60% of the amount when the skill is cast on a non-hero enemy).
Evolved Lantern: The attack range is increased to 125%.",Sprout,CC Damage,"Floryn casts a blob of energy in the target direction, dealing 175(+90%Total Magic Power) Magic Damage to the first enemy hit. Upon hitting an enemy or reaching the maximum range, the energy explodes, dealing 105(+54%Total Magic Power) Magic Damage to nearby enemies and stunning them for 1s.
Evolved Lantern: The explosion radius is increased to 125%.",Bloom,HEAL Damage,"Floryn resonates with Dew's power, restoring 400(+70%Total Magic Power) HP for all allied heroes 2 times regardless of distance. Enemies around the allied heroes are dealt 150(+60%Total Magic Power) Magic Damage and slowed by 30% for 0.8s each time the healing takes effect.
Evolved Lantern: The healing removes Healing Reduction effects on allied heroes and makes them immune to the effects for 3s."
Yin,"Yin, the Martial Genius",113,Fighter/Assassin,Burst/Control,EXP Lane/Jungling,2578,9.8,0,,1.07 ┃ 100%,109,0,21,15,252,,,32000   599,Burst/Control,61W : 69L (46.92%),Yin,Leave It to Me,BUFF,Yin deals 120% increased damage when there are no allied heroes within 4 yards.,Charged Punch,Burst Speed Up,"Yin gains 60% extra Movement Speed (decays over 3s). 

Yin can launch an enhanced Basic Attack that deals 25(+100%Total Physical Attack) Physical Damage within the duration. Upon hitting an enemy with the enhanced Basic Attack, Yin will throw another charged punch forward, dealing 360(+200%Extra Physical Attack) Physical Damage to enemies in the path.

Successfully throwing the charged punch reduces the skill's cooldown by 35%.",Frenzy Strike,Burst,"Lieh smashes an area ahead up to 10 times, each smash dealing 130(+110%Extra Physical Attack) Physical Damage to enemies hit and slowing them by 75% for 0.2s.
Lieh is immune to control effects for the duration, while the smashing speed will gradually increase. The first half of the attacks will automatically lock onto nearby enemies, while the latter half cannot change directions. 

Lieh can move or cast other skills during the latter half to cancel the skill early.",Instant Blast,Blink CC,"Yin dashes forward, leaving a Golden Ring behind while dealing 75(+35%Extra Physical Attack) Physical Damage to enemies along the way. He gains 30% extra Damage Reduction for 4s if an enemy hero is hit.

After 1s, the Golden Ring will catch up with Yin, dealing 150(+70%Extra Physical Attack) Physical Damage to enemies it passes through and stunning them for 1s."
Melissa,"Melissa, the Cursed Needle",114,Marksman,Finisher,Gold Lane,2460,6.6,448,15,0.94 ┃ 100%,123,0,18,15,248,,,32000   599,Reap/Damage,771W : 786L (49.52%),Melissa,Doll Buster,BUFF,"""My tailor shop excels at fixing and 'fixing' dolls. Am I right, Muddles?""
(Melissa deals 125% damage to minions, creeps, and summoned units.)",Falling!,Blink BUFF,"""Watch me slide forward and increase my Attack Speed for 3 seconds━ Ah, that was just boring...""
""Muddles, go that way!""

""Cuddles, come here!""
(The skill's cooldown is reduced by 1.5s each time Melissa damages the enemy by attacking Muddles.)",Eyes on You!,Debuff AoE,"""The plan's like this: Throw Muddles out to hold down the bad guys, and then... I come on stage!""

""I puncture the bad guys, while Giggles hit Muddles to punish them as well! Hee, fantastic!""
(Muddles deals 250 (+80%Total Physical Attack) Physical Damage on the first hit and links nearby enemies for up to 6s. Linked enemies are slowed by 60% that decays over 1.5s and can break the link by moving out of the range. Muddles will return to Melissa early when there are no enemies around and immediately if she's too far away. When Muddles is present, you can tap the Attack Minion button to directly attack Muddles, though it cannot trigger the multi-hit damage.)",Go Away!,Summon BUFF,"""Cuddles, protect me! For 4 seconds, let no bad guys come close. Unless I say otherwise!""
(When activated, the field knocks back enemies in the area and deals them 500 (+100%Total Magic Power) Magic Damage. It'll then continuously knock back enemies who attempt to enter the field, dealing them 50 (+10%Total Magic Power) Magic Damage and briefly slowing them. The field will also interrupt the enemy's movement skills unless they're immune to control effects. The field will move with Melissa once, when she's about to move out of the boundary.

Passive: : Melissa's Physical & Magic Defense is increased by 3. This effect is increased to 5 times when the skill is active.)"
